0,1,2,3,4,5,6
frame,frame_time,sum_time,frame_fps,avg_fps,num_detected_signs,detected_signs
302,0.0504209,21.3754966,19.8,14.1,0,[]
303,0.0490441,21.4245407,20.4,14.1,0,[]
304,0.0490507,21.4735914,20.4,14.2,0,[]
305,0.0495687,21.5231601,20.2,14.2,0,[]
306,0.0506889,21.573849,19.7,14.2,0,[]
307,0.0505699,21.6244189,19.8,14.2,0,[]
308,0.0504562,21.674875099999998,19.8,14.2,0,[]
309,0.0502981,21.725173199999997,19.9,14.2,0,[]
310,0.0512062,21.776379399999996,19.5,14.2,0,[]
311,0.0527372,21.829116599999995,19.0,14.2,0,[]
312,0.0504368,21.879553399999995,19.8,14.3,0,[]
313,0.0502401,21.929793499999995,19.9,14.3,0,[]
314,0.0506166,21.980410099999997,19.8,14.3,0,[]
315,0.050612,22.031022099999998,19.8,14.3,0,[]
316,0.0506344,22.081656499999998,19.7,14.3,0,[]
317,0.0503332,22.1319897,19.9,14.3,0,[]
318,0.0511067,22.183096399999997,19.6,14.3,0,[]
319,0.048822,22.231918399999998,20.5,14.3,0,[]
320,0.0493223,22.281240699999998,20.3,14.4,0,[]
321,0.0500374,22.3312781,20.0,14.4,0,[]
322,0.0503717,22.381649799999998,19.9,14.4,0,[]
323,0.0502343,22.431884099999998,19.9,14.4,0,[]
324,0.0504999,22.482383999999996,19.8,14.4,0,[]
325,0.0505822,22.532966199999997,19.8,14.4,0,[]
326,0.0505321,22.5834983,19.8,14.4,0,[]
327,0.0505711,22.634069399999998,19.8,14.4,0,[]
328,0.0501715,22.6842409,19.9,14.5,0,[]
329,0.0502099,22.734450799999998,19.9,14.5,0,[]
330,0.050588,22.7850388,19.8,14.5,0,[]
331,0.0521918,22.837230599999998,19.2,14.5,0,[]
332,0.0506348,22.8878654,19.7,14.5,0,[]
333,0.0503554,22.9382208,19.9,14.5,0,[]
334,0.0497262,22.987947,20.1,14.5,0,[]
335,0.0500244,23.0379714,20.0,14.5,0,[]
336,0.0500475,23.0880189,20.0,14.6,0,[]
337,0.050587,23.1386059,19.8,14.6,0,[]
338,0.050353,23.188958900000003,19.9,14.6,0,[]
339,0.0504002,23.2393591,19.8,14.6,0,[]
340,0.0503994,23.2897585,19.8,14.6,0,[]
341,0.0503986,23.340157100000003,19.8,14.6,0,[]
342,0.050784,23.390941100000003,19.7,14.6,0,[]
343,0.0506107,23.441551800000003,19.8,14.6,0,[]
344,0.0504899,23.4920417,19.8,14.6,0,[]
345,0.0505064,23.5425481,19.8,14.7,0,[]
346,0.050705,23.593253100000002,19.7,14.7,0,[]
347,0.0505978,23.6438509,19.8,14.7,0,[]
348,0.0506366,23.6944875,19.7,14.7,0,[]
349,0.0505902,23.7450777,19.8,14.7,0,[]
350,0.0487258,23.7938035,20.5,14.7,0,[]
351,0.0489691,23.8427726,20.4,14.7,0,[]
352,0.0497129,23.8924855,20.1,14.7,0,[]
353,0.0506159,23.9431014,19.8,14.7,0,[]
354,0.0505982,23.9936996,19.8,14.8,0,[]
355,0.0508505,24.0445501,19.7,14.8,0,[]
356,0.0507327,24.0952828,19.7,14.8,0,[]
357,0.0502023,24.1454851,19.9,14.8,0,[]
358,0.0504576,24.1959427,19.8,14.8,0,[]
359,0.0504555,24.2463982,19.8,14.8,0,[]
360,0.0504851,24.2968833,19.8,14.8,0,[]
361,0.0510854,24.347968700000003,19.6,14.8,0,[]
362,0.0503929,24.3983616,19.8,14.8,0,[]
363,0.0504119,24.4487735,19.8,14.8,0,[]
364,0.0504963,24.4992698,19.8,14.9,0,[]
365,0.0508124,24.550082200000002,19.7,14.9,0,[]
366,0.0488803,24.598962500000003,20.5,14.9,0,[]
367,0.0490239,24.647986400000004,20.4,14.9,0,[]
368,0.0499019,24.697888300000002,20.0,14.9,0,[]
369,0.0504337,24.748322,19.8,14.9,0,[]
370,0.0507339,24.799055900000003,19.7,14.9,0,[]
371,0.0504996,24.8495555,19.8,14.9,0,[]
372,0.0505926,24.900148100000003,19.8,14.9,0,[]
373,0.0506965,24.950844600000003,19.7,14.9,0,[]
374,0.0505209,25.001365500000002,19.8,15.0,0,[]
375,0.0501645,25.051530000000003,19.9,15.0,0,[]
376,0.050622,25.102152000000004,19.8,15.0,0,[]
377,0.0504526,25.152604600000004,19.8,15.0,0,[]
378,0.0503732,25.202977800000003,19.9,15.0,0,[]
379,0.0505023,25.253480100000004,19.8,15.0,0,[]
380,0.050169,25.303649100000005,19.9,15.0,0,[]
381,0.0497596,25.353408700000006,20.1,15.0,0,[]
382,0.0495338,25.402942500000005,20.2,15.0,0,[]
383,0.0495606,25.452503100000005,20.2,15.0,0,[]
384,0.0506457,25.503148800000005,19.7,15.1,0,[]
385,0.0503452,25.553494000000004,19.9,15.1,0,[]
386,0.0503933,25.603887300000004,19.8,15.1,0,[]
387,0.0505097,25.654397000000003,19.8,15.1,0,[]
